@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-2.617661,4.686251,0.691675,SITTING
-2.681506,4.584098,0.517659,SITTING
-2.732582,4.55856,0.378882,SITTING
-2.691499,4.556895,0.335497,SITTING
-2.664851,4.503598,0.335945,SITTING
-2.577032,4.596867,0.280748,SITTING
-2.549172,4.666517,0.262896,SITTING
-2.507382,4.750096,0.260528,SITTING
-2.493452,4.777956,0.244155,SITTING
-2.451663,4.7428,0.235818,SITTING
-2.466256,4.65524,0.204989,SITTING
-2.480849,4.553088,0.081845,SITTING
-2.495442,4.494715,0.082442,SITTING
-2.512954,4.428316,0.029185,SITTING
-2.510036,4.436342,0.031608,SITTING
-2.528277,4.428316,0.032066,SITTING
-2.487717,4.488706,0.020167,SITTING
-2.487717,4.506733,0.020167,SITTING
-2.473553,4.553087,0.02285,SITTING
-2.472093,4.556006,0.02182,SITTING
-2.472093,4.556006,0.023678,SITTING
-2.472093,4.576437,0.023678,SITTING
-2.472093,4.576437,0.024823,SITTING
-2.492524,4.596867,0.02782,SITTING
-2.492524,4.596867,0.02782,SITTING
-2.472093,4.617298,0.023678,SITTING
-2.472093,4.617298,0.024823,SITTING
-2.475237,4.644014,0.025475,SITTING
-2.475237,4.644014,0.026049,SITTING
-2.473553,4.640647,0.025478,SITTING
-2.473553,4.640647,0.025478,SITTING
-2.473553,4.640647,0.025478,SITTING
-2.492524,4.637728,0.029395,SITTING
-2.48997,4.635174,0.029331,SITTING
-2.48997,4.635174,0.02826,SITTING
-2.487717,4.632921,0.028407,SITTING
-2.487717,4.632921,0.028407,SITTING
-2.505744,4.632921,0.026599,SITTING
-2.505744,4.632921,0.026599,SITTING
-2.523771,4.632921,0.024576,SITTING
-2.519765,4.630918,0.02366,SITTING
-2.519765,4.630918,0.019736,SITTING
-2.519765,4.630918,0.020712,SITTING
-2.51618,4.629126,0.020323,SITTING
-2.51618,4.612996,0.020976,SITTING
-2.53231,4.612996,0.019628,SITTING
-2.53231,4.596867,0.018698,SITTING
-2.5436,4.596867,0.021329,SITTING
-2.558923,4.596867,0.019384,SITTING
-2.553815,4.596867,0.020328,SITTING
-2.549172,4.596867,0.019757,SITTING
-2.549172,4.596867,0.021023,SITTING
-2.558257,4.596867,0.020112,SITTING
-2.566584,4.596867,0.022191,SITTING
-2.571581,4.596867,0.021425,SITTING
-2.558257,4.596867,0.020112,SITTING
-2.566584,4.596867,0.019276,SITTING
-2.579353,4.596867,0.020563,SITTING
-2.592122,4.596867,0.0203,SITTING
-2.592122,4.609636,0.018826,SITTING
-2.592122,4.609636,0.0203,SITTING
-2.598229,4.623516,0.020853,SITTING
-2.584905,4.623516,0.021161,SITTING
-2.598229,4.63684,0.020853,SITTING
-2.584905,4.63684,0.021161,SITTING
-2.584905,4.63684,0.021161,SITTING
-2.598229,4.63684,0.020853,SITTING
-2.598229,4.650164,0.0194,SITTING
-2.592122,4.647943,0.0203,SITTING
-2.592122,4.647943,0.022879,SITTING
-2.592122,4.647943,0.022879,SITTING
-2.571581,4.650164,0.022804,SITTING
-2.590962,4.652587,0.021785,SITTING
-2.590962,4.652587,0.020238,SITTING
-2.577032,4.652587,0.022098,SITTING
-2.563102,4.652587,0.019416,SITTING
-2.558257,4.650164,0.020112,SITTING
-2.558257,4.650164,0.020112,SITTING
-2.528277,4.658159,0.019308,SITTING
-2.524629,4.65524,0.018958,SITTING
-2.524629,4.640647,0.019719,SITTING
-2.528277,4.627513,0.023118,SITTING
-2.528277,4.627513,0.024151,SITTING
-2.51618,4.612996,0.02542,SITTING
-2.51618,4.629126,0.02433,SITTING
-2.51618,4.629126,0.02433,SITTING
-2.51618,4.629126,0.02542,SITTING
-2.51618,4.645255,0.02433,SITTING
-2.500051,4.645255,0.021775,SITTING
-2.500051,4.661384,0.022152,SITTING
-2.497632,4.658159,0.022069,SITTING
-2.497632,4.658159,0.02193,SITTING
-2.495443,4.65524,0.021957,SITTING
-2.495443,4.669833,0.026255,SITTING
-2.510036,4.669833,0.025513,SITTING
-2.528277,4.688804,0.024782,SITTING
-2.5436,4.688804,0.023492,SITTING
-2.558923,4.688804,0.026892,SITTING
-2.574246,4.688804,0.025297,SITTING
-2.612956,4.693643,0.025959,SITTING
-2.620214,4.704127,0.024682,SITTING
-2.641375,4.69902,0.024865,SITTING
-2.666183,4.704127,0.030077,SITTING
-2.670561,4.69902,0.031051,SITTING
-2.699747,4.713613,0.038529,SITTING
-2.699747,4.742799,0.05502,SITTING
-2.699747,4.801172,0.06119,SITTING
-2.712152,4.82671,0.064234,SITTING
-2.670561,4.888732,0.120725,SITTING
-2.635537,4.979939,0.23402,SITTING
-2.65086,5.117845,0.318861,SITTING
-2.641374,5.224376,0.370422,SITTING
-2.666183,5.378335,0.42809,SITTING
-2.709732,5.451723,0.435951,SITTING
-2.804089,5.500918,0.452285,SITTING
-2.889459,5.56002,0.43803,SITTING
-2.947832,5.64758,0.436796,SITTING
-3.035392,5.749732,0.488076,SITTING
-3.092438,5.794839,0.469275,SITTING
-3.162087,5.892348,0.463216,SITTING
-3.259597,5.989857,0.463129,SITTING
-3.317739,6.022562,0.461297,SITTING
-3.383805,6.065311,0.461987,SITTING
-3.434881,6.167464,0.457116,SITTING
-3.530927,6.342344,0.486185,SITTING
-3.575341,6.359,0.480371,SITTING
-3.651956,6.397307,0.483433,SITTING
-3.766877,6.397307,0.4885,SITTING
-3.907337,6.448383,0.629491,SITTING
-4.060566,6.49946,0.66552,SITTING
-4.175488,6.537767,0.67915,SITTING
-4.229118,6.533681,0.665951,SITTING
-4.456407,6.62715,0.642211,SITTING
-4.716786,6.635478,0.461683,SITTING
-4.750096,6.652689,0.463015,SITTING
-4.890556,6.639919,0.372772,SITTING
-4.927842,6.656264,0.358113,SITTING
-5.062683,6.656264,0.286926,SITTING
-5.148491,6.717555,0.290999,SITTING
-5.197525,6.742072,0.289699,SITTING
-5.246558,6.742072,0.298677,SITTING
-5.320108,6.75433,0.298819,SITTING
-5.426857,6.780379,0.291068,SITTING
-5.503472,6.793148,0.280609,SITTING
-5.541779,6.805918,0.275018,SITTING
-5.622835,6.808693,0.245669,SITTING
-5.689456,6.808693,0.24718,SITTING
-5.742753,6.795369,0.254362,SITTING
-5.822699,7.002561,0.140095,SITTING
-5.807376,7.017884,0.080783,SITTING
-5.822699,7.033207,0.064517,SITTING
-5.838022,7.079176,0.043498,SITTING
-5.837292,7.077716,0.041525,SITTING
-5.851885,7.077716,0.040443,SITTING
-5.88399,7.079176,0.03313,SITTING
-5.924851,7.063123,0.154409,SITTING
-5.968631,7.019344,0.231183,SITTING
-5.939445,7.00475,0.274361,SITTING
-5.851885,7.00475,0.331916,SITTING
-5.749733,7.077716,0.435717,SITTING
-5.662173,7.165276,0.609081,SITTING
-5.618394,7.267428,0.751413,SITTING
-5.560021,7.311208,0.949808,SITTING
-5.487054,7.340395,1.05276,SITTING
-5.414088,7.384174,1.147106,SITTING
-5.355715,7.471734,1.244132,SITTING
-5.335152,7.522147,1.237339,SITTING
-5.289729,7.568176,1.340318,SITTING
-5.260859,7.610369,1.388451,SITTING
-5.16981,7.67477,1.535184,SITTING
-5.103189,7.728067,1.637227,SITTING
-5.082092,7.763598,1.627385,SITTING
-5.062683,7.796287,1.606169,SITTING
-5.03298,7.826461,1.631181,SITTING
-4.962259,7.920756,1.721985,SITTING
-4.813942,8.057287,1.746486,SITTING
-4.750096,8.133901,1.691725,SITTING
-4.673482,8.210516,1.641673,SITTING
-4.584098,8.28713,1.518246,SITTING
-4.456408,8.376514,1.026892,SITTING
-4.328717,8.504204,0.533919,SITTING
-4.277641,8.593588,0.448358,SITTING
-4.264871,8.657433,0.374867,SITTING
-4.29041,8.644664,0.320788,SITTING
-4.303179,8.593588,0.299659,SITTING
-4.277641,8.529743,0.279557,SITTING
-4.264872,8.504204,0.321331,SITTING
-4.252102,8.516974,0.651366,SITTING
-4.213795,8.516974,0.959092,SITTING
-4.175488,8.42759,1.149482,SITTING
-4.117194,8.327658,1.414314,SITTING
-4.077222,8.221064,1.633475,SITTING
-4.063897,8.127794,1.921311,SITTING
-4.050573,8.0212,2.220374,SITTING
-4.037249,7.901282,2.625733,SITTING
-4.037249,7.781364,2.995071,SITTING
-4.050573,7.634797,3.223842,SITTING
-4.073335,7.520986,3.291877,SITTING
-4.086105,7.342219,3.313235,SITTING
-4.111643,7.176221,3.36723,SITTING
-4.143843,6.901963,3.398845,SITTING
-4.175488,6.793148,3.464289,SITTING
-4.226564,6.588843,3.365982,SITTING
-4.29041,6.410076,3.078245,SITTING
-4.341486,6.231309,2.636348,SITTING
-4.379793,6.065311,2.217205,SITTING
-4.4181,5.899313,1.732584,SITTING
-4.456408,5.746084,1.329225,SITTING
-4.503598,5.556214,0.58008,SITTING
-4.582274,5.19519,0.297203,SITTING
-4.65524,5.10763,0.221344,SITTING
-4.822678,4.951713,0.077073,SITTING
-4.939379,4.81319,0.07042,SITTING
-4.975433,4.795163,0.067318,SITTING
-5.011487,4.81319,0.052762,SITTING
-5.022503,4.852249,0.050099,SITTING
-5.073579,4.869274,0.032694,SITTING
-5.10763,4.903325,0.033897,SITTING
-5.113007,4.951713,0.032232,SITTING
-5.141681,5.090605,0.030224,SITTING
-5.145266,5.161395,0.028934,SITTING
-5.129136,5.306559,0.033536,SITTING
-5.10763,5.465164,0.053597,SITTING
-5.10763,5.584343,0.069903,SITTING
-5.090605,5.703521,0.155939,SITTING
-5.039529,5.839724,0.259765,SITTING
-5.000101,5.919475,0.378219,SITTING
-4.951713,6.064639,0.854557,SITTING
-4.918648,6.267062,1.189661,SITTING
-4.857357,6.542875,1.725269,SITTING
-4.815766,6.727479,1.853413,SITTING
-4.771986,6.931784,1.867427,SITTING
-4.708307,6.97888,2.07244,SITTING
-4.610797,7.09032,2.417244,SITTING
-4.516922,7.075178,3.065778,SITTING
-4.443638,7.074068,3.383068,SITTING
-4.328717,7.18899,3.73776,SITTING
-4.226564,7.316681,3.925771,SITTING
-4.14995,7.469909,3.959739,SITTING
-4.047797,7.5976,4.067192,SITTING
-3.920106,7.725291,4.228284,SITTING
-3.824594,7.747254,4.329557,SITTING
-3.652977,7.857579,4.348984,SITTING
-3.481361,7.967903,4.081885,SITTING
-3.230576,8.121132,3.25433,SITTING
-3.077347,8.197747,2.770163,SITTING
-3.015545,8.21307,2.676872,SITTING
-2.98207,8.227214,2.574562,SITTING
-2.911349,8.286148,2.177678,SITTING
-2.817055,8.333295,1.755446,SITTING
-2.734547,8.380443,1.496186,SITTING
-2.652039,8.42759,1.222421,SITTING
-2.476179,8.495011,1.011046,SITTING
-2.378113,8.433719,0.957859,SITTING
-2.316821,8.372428,0.94654,SITTING
-2.243271,8.298878,0.826155,SITTING
-2.119667,8.274361,0.518339,SITTING
-2.132946,8.274361,0.515352,SITTING
-2.081359,8.350976,0.509501,SITTING
-2.055821,8.402052,0.526365,SITTING
-2.071655,8.396944,0.519117,SITTING
-2.083913,8.409203,0.539076,SITTING
-2.083913,8.433719,0.549938,SITTING
-2.017514,8.402052,0.551797,SITTING
-2.038611,8.394279,0.478894,SITTING
-2.078584,8.367631,0.391894,SITTING
-2.131881,8.327658,0.364012,SITTING
-2.198502,8.287685,0.360719,SITTING
-2.278447,8.234388,0.370578,SITTING
-2.358393,8.20774,0.368217,SITTING
-2.409873,8.162922,0.406444,SITTING
-2.493452,8.135062,0.500821,SITTING
-2.674541,8.121132,1.186768,SITTING
-2.82777,8.121132,2.040222,SITTING
